,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volumn,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
0,2021-01-01 03:00:00,737.37000000,743.33000000,725.10000000,735.39000000,249612.23631000,1609516799999,183677980.11725970,182164,128021.91625000,94245795.89779420
1,2021-01-01 11:00:00,735.39000000,737.73000000,714.29000000,728.91000000,222134.55765000,1609545599999,161636008.95499880,148653,105251.27082000,76612740.25802110
2,2021-01-01 19:00:00,728.91000000,740.49000000,714.91000000,735.12000000,217122.72673000,1609574399999,158332383.11714930,133048,112334.43806000,81944674.51875130
0,2021-01-02 03:00:00,735.12000000,772.80000000,723.01000000,768.43000000,548713.18951000,1609603199999,412200911.77629200,333152,286479.71886000,215207978.66793260
1,2021-01-02 11:00:00,768.45000000,787.69000000,750.12000000,774.56000000,586782.66044000,1609631999999,453938887.71864570,357934,287860.57650000,222763173.82480160
2,2021-01-02 19:00:00,774.44000000,805.74000000,768.71000000,799.78000000,399721.36740000,1609660799999,314788819.21249120,250536,205907.66201000,162271856.56019030
0,2021-01-03 03:00:00,799.74000000,921.73000000,791.50000000,917.72000000,1032383.61834000,1609689599999,892008684.33772800,597324,535668.02457000,462633895.94653460
1,2021-01-03 11:00:00,917.95000000,1011.07000000,888.93000000,978.28000000,1381498.90041000,1609718399999,1315614356.18139050,788641,697452.11228000,665360523.08642390
2,2021-01-03 19:00:00,978.33000000,1162.97000000,954.22000000,1044.31000000,1429173.91534000,1609747199999,1497105971.38000980,877256,740113.49310000,775111217.00408060
0,2021-01-04 03:00:00,1044.30000000,1078.93000000,890.00000000,1040.01000000,1991457.20178000,1609775999999,1970191807.06050820,1025150,967762.08553000,957749954.98036180
1,2021-01-04 11:00:00,1040.00000000,1049.70000000,982.05000000,1041.43000000,824379.82292000,1609804799999,836336424.77908070,575456,418462.09347000,424777847.34474890
2,2021-01-04 19:00:00,1041.45000000,1134.60000000,974.45000000,1003.45000000,1278863.79060000,1609833599999,1341780216.93033990,861804,634790.60280000,666451472.45065720
0,2021-01-05 03:00:00,1003.52000000,1064.00000000,1001.00000000,1052.82000000,650623.20453000,1609862399999,672648884.94649480,538633,321114.25349000,332046867.22476890
1,2021-01-05 11:00:00,1052.83000000,1120.00000000,1036.29000000,1099.56000000,777508.68012000,1609891199999,842621178.13130760,560066,381736.17165000,414053113.17813200
2,2021-01-05 19:00:00,1100.16000000,1135.02000000,1057.26000000,1106.59000000,670013.47461000,1609919999999,734669837.65681990,498758,341923.83115000,375186187.24092500
0,2021-01-06 03:00:00,1106.61000000,1166.58000000,1091.00000000,1143.89000000,783216.20601000,1609948799999,884636228.65427540,485619,401973.04738000,454202569.89903830
1,2021-01-06 11:00:00,1144.01000000,1213.00000000,1116.61000000,1208.42000000,936906.91272000,1609977599999,1105956054.97741780,616511,484059.00997000,571850723.39061600
2,2021-01-06 19:00:00,1208.75000000,1224.11000000,1179.91000000,1186.21000000,500355.07293000,1610006399999,602145764.37343430,368549,248363.90494000,299012473.85252030
0,2021-01-07 03:00:00,1186.39000000,1249.98000000,1159.03000000,1249.83000000,560092.32510000,1610035199999,676510789.61817470,419718,284921.61800000,344485012.47123500
1,2021-01-07 11:00:00,1249.84000000,1289.00000000,1131.00000000,1224.87000000,912475.42256000,1610063999999,1127563337.37692530,614432,441441.45222000,546248539.82762910
2,2021-01-07 19:00:00,1224.86000000,1233.00000000,1065.00000000,1208.42000000,774496.36849000,1610092799999,895762158.94998140,629599,366821.37830000,424871447.38157760
0,2021-01-08 03:00:00,1208.20000000,1273.75000000,1171.72000000,1216.77000000,753421.22254000,1610121599999,928213546.65757790,549306,377292.38457000,465205181.15709150
1,2021-01-08 11:00:00,1216.93000000,1242.18000000,1135.51000000,1216.93000000,603255.33238000,1610150399999,719451746.97256620,539912,298775.34222000,356542668.88117030
