,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volumn,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
0,2021-01-01 03:00:00,29092.84000000,29600.00000000,28872.24000000,29188.67000000,20078.65483400,1609516799999,588106351.68384796,464924,10504.19459800,307759807.70493736
1,2021-01-01 11:00:00,29188.67000000,29360.00000000,28624.57000000,29331.69000000,15234.90335000,1609545599999,443730751.79995433,390773,7159.80377300,208641751.89524126
2,2021-01-01 19:00:00,29331.70000000,29820.50000000,28946.53000000,29750.00000000,17258.67137100,1609574399999,508274328.73649111,368887,10013.45603200,295169527.44572307
0,2021-01-02 03:00:00,29751.47000000,31800.00000000,29473.91000000,31691.29000000,43255.77800700,1609603199999,1325302759.13992873,766849,23128.63286300,708353135.74778151
1,2021-01-02 11:00:00,31691.09000000,33300.00000000,30300.00000000,32178.33000000,69479.42398400,1609631999999,2240265075.79512133,1110186,34304.21635100,1106812060.69364129
2,2021-01-02 19:00:00,32176.45000000,34778.11000000,31962.99000000,34452.34000000,37176.42920300,1609660799999,1244556693.54055647,696757,19194.81055300,642370520.97325457
0,2021-01-03 03:00:00,34451.78000000,34670.41000000,32727.00000000,33506.62000000,45891.61004400,1609689599999,1557660457.10805756,868870,21997.41510500,746980874.14859556
1,2021-01-03 11:00:00,33505.15000000,33861.92000000,32267.00000000,33000.05000000,37889.52750300,1609718399999,1255381274.84340246,804071,18558.10721300,615077038.80999609
2,2021-01-03 19:00:00,33000.05000000,33600.00000000,31505.00000000,32068.84000000,35935.66252900,1609747199999,1181866858.28090929,741989,18090.45351100,594928524.87061301
0,2021-01-04 03:00:00,32068.84000000,32567.88000000,28130.00000000,31745.72000000,73184.01047800,1609775999999,2252544538.48218631,1244553,34418.22842200,1059545066.69651071
1,2021-01-04 11:00:00,31745.71000000,32031.01000000,30626.36000000,31988.71000000,31780.21268300,1609804799999,994598952.93224927,655866,16579.78729700,518961817.44986419
2,2021-01-04 19:00:00,31989.75000000,32853.38000000,29900.00000000,30817.77000000,43832.13577800,1609833599999,1381791123.29534930,905844,21943.24392100,693014936.40583244
0,2021-01-05 03:00:00,30817.78000000,32375.07000000,30817.78000000,32099.98000000,29498.87746900,1609862399999,933312812.19017121,729316,15776.54372300,499311556.33922654
