,time,BTC-PERP,ETH-PERP
0,2019-03-06T15:00:00+00:00,-1.00E-05,3.00E-05
1,2019-03-06T16:00:00+00:00,-2.00E-05,0
2,2019-03-06T17:00:00+00:00,-2.00E-05,-4.00E-05
3,2019-03-06T18:00:00+00:00,-2.00E-05,3.00E-05
4,2019-03-06T19:00:00+00:00,-0.00025,0.00016
5,2019-03-06T20:00:00+00:00,-0.00025,0.00015
6,2019-03-06T21:00:00+00:00,-1.00E-05,2.00E-05
7,2019-03-06T22:00:00+00:00,-1.00E-05,5.00E-05
8,2019-03-06T23:00:00+00:00,0,7.00E-05
9,2019-03-07T00:00:00+00:00,-1.00E-05,5.00E-05
10,2019-03-07T01:00:00+00:00,0,3.00E-05
11,2019-03-07T02:00:00+00:00,-1.00E-05,0
12,2019-03-07T03:00:00+00:00,2.00E-05,2.00E-05
13,2019-03-07T04:00:00+00:00,3.00E-05,1.00E-05
14,2019-03-07T05:00:00+00:00,0,-3.00E-05
15,2019-03-07T06:00:00+00:00,1.00E-05,0
16,2019-03-07T07:00:00+00:00,2.00E-05,3.00E-05
17,2019-03-07T08:00:00+00:00,1.00E-05,-1.00E-05
18,2019-03-07T09:00:00+00:00,0,-5.00E-05
19,2019-03-07T10:00:00+00:00,2.00E-05,8.00E-05
20,2019-03-07T11:00:00+00:00,4.00E-05,1.00E-05
21,2019-03-07T12:00:00+00:00,3.00E-05,5.00E-05
22,2019-03-07T13:00:00+00:00,1.00E-05,3.00E-05
23,2019-03-07T14:00:00+00:00,-3.00E-05,-6.00E-05
24,2019-03-07T15:00:00+00:00,3.00E-05,7.00E-05
25,2019-03-07T16:00:00+00:00,0,0
26,2019-03-07T17:00:00+00:00,0,-2.00E-05
27,2019-03-07T18:00:00+00:00,-2.00E-05,0
28,2019-03-07T19:00:00+00:00,-3.00E-05,-1.00E-05
29,2019-03-07T20:00:00+00:00,-4.00E-05,-1.00E-05
30,2019-03-07T21:00:00+00:00,-3.00E-05,-3.00E-05
31,2019-03-07T22:00:00+00:00,-1.00E-05,0
32,2019-03-07T23:00:00+00:00,-2.00E-05,1.00E-05
33,2019-03-08T00:00:00+00:00,1.00E-05,3.00E-05
34,2019-03-08T01:00:00+00:00,1.00E-05,3.00E-05
35,2019-03-08T02:00:00+00:00,0,-2.00E-05
36,2019-03-08T03:00:00+00:00,-2.00E-05,3.00E-05
37,2019-03-08T04:00:00+00:00,-2.00E-05,5.00E-05
38,2019-03-08T05:00:00+00:00,-2.00E-05,5.00E-05
39,2019-03-08T06:00:00+00:00,-5.00E-05,-4.00E-05
40,2019-03-08T07:00:00+00:00,-3.00E-05,-1.00E-05
41,2019-03-08T08:00:00+00:00,-1.00E-05,-3.00E-05
42,2019-03-08T09:00:00+00:00,2.00E-05,1.00E-05
43,2019-03-08T10:00:00+00:00,3.00E-05,5.00E-05
44,2019-03-08T11:00:00+00:00,2.00E-05,0.0001
45,2019-03-08T12:00:00+00:00,2.00E-05,8.00E-05
46,2019-03-08T13:00:00+00:00,4.00E-05,0.00011
47,2019-03-08T14:00:00+00:00,5.00E-05,0.00012
48,2019-03-08T15:00:00+00:00,2.00E-05,0.00012
49,2019-03-08T16:00:00+00:00,1.00E-05,5.00E-05
50,2019-03-08T17:00:00+00:00,3.00E-05,5.00E-05
51,2019-03-08T18:00:00+00:00,4.00E-05,7.00E-05
52,2019-03-08T19:00:00+00:00,3.00E-05,6.00E-05
53,2019-03-08T20:00:00+00:00,3.00E-05,5.00E-05
54,2019-03-08T21:00:00+00:00,1.00E-05,4.00E-05
55,2019-03-08T22:00:00+00:00,1.00E-05,3.00E-05
56,2019-03-08T23:00:00+00:00,0,4.00E-05
57,2019-03-09T00:00:00+00:00,-3.00E-05,1.00E-05
58,2019-03-09T01:00:00+00:00,-2.00E-05,2.00E-05
59,2019-03-09T02:00:00+00:00,-4.00E-05,4.00E-05
60,2019-03-09T03:00:00+00:00,-2.00E-05,5.00E-05
61,2019-03-09T04:00:00+00:00,-2.00E-05,-1.00E-05
62,2019-03-09T05:00:00+00:00,1.00E-05,2.00E-05
63,2019-03-09T06:00:00+00:00,0,2.00E-05
64,2019-03-09T07:00:00+00:00,1.00E-05,0
65,2019-03-09T08:00:00+00:00,0,0
66,2019-03-09T09:00:00+00:00,-1.00E-05,3.00E-05
67,2019-03-09T10:00:00+00:00,-2.00E-05,0
68,2019-03-09T11:00:00+00:00,-3.00E-05,0
69,2019-03-09T12:00:00+00:00,-1.00E-05,1.00E-05
70,2019-03-09T13:00:00+00:00,-1.00E-05,4.00E-05
71,2019-03-09T14:00:00+00:00,1.00E-05,3.00E-05
72,2019-03-09T15:00:00+00:00,2.00E-05,0
73,2019-03-09T16:00:00+00:00,3.00E-05,-4.00E-05
74,2019-03-09T17:00:00+00:00,0,-4.00E-05
75,2019-03-09T18:00:00+00:00,0,3.00E-05
76,2019-03-09T19:00:00+00:00,2.00E-05,7.00E-05
77,2019-03-09T20:00:00+00:00,0,2.00E-05
78,2019-03-09T21:00:00+00:00,0,-5.00E-05
79,2019-03-09T22:00:00+00:00,1.00E-05,-2.00E-05
80,2019-03-09T23:00:00+00:00,1.00E-05,0
81,2019-03-10T00:00:00+00:00,2.00E-05,1.00E-05
82,2019-03-10T01:00:00+00:00,2.00E-05,-4.00E-05
83,2019-03-10T02:00:00+00:00,0,-2.00E-05
84,2019-03-10T03:00:00+00:00,-3.00E-05,-3.00E-05
85,2019-03-10T04:00:00+00:00,-4.00E-05,-5.00E-05
86,2019-03-10T05:00:00+00:00,-2.00E-05,-4.00E-05
87,2019-03-10T06:00:00+00:00,-2.00E-05,-4.00E-05
88,2019-03-10T07:00:00+00:00,-2.00E-05,0
89,2019-03-10T08:00:00+00:00,0,-6.00E-05
90,2019-03-10T09:00:00+00:00,-2.00E-05,4.00E-05
91,2019-03-10T10:00:00+00:00,6.00E-05,2.00E-05
92,2019-03-10T11:00:00+00:00,1.00E-05,6.00E-05
93,2019-03-10T12:00:00+00:00,0,0
94,2019-03-10T13:00:00+00:00,1.00E-05,-1.00E-05
95,2019-03-10T14:00:00+00:00,1.50E-05,0
96,2019-03-10T15:00:00+00:00,3.00E-06,2.30E-05
97,2019-03-10T16:00:00+00:00,-1.00E-05,-1.00E-06
98,2019-03-10T17:00:00+00:00,3.40E-05,-1.90E-05
99,2019-03-10T18:00:00+00:00,-4.00E-05,-4.30E-05
100,2019-03-10T19:00:00+00:00,-1.70E-05,2.80E-05
101,2019-03-10T20:00:00+00:00,-2.60E-05,1.40E-05
102,2019-03-10T21:00:00+00:00,-5.20E-05,-1.40E-05
103,2019-03-10T22:00:00+00:00,-4.20E-05,-9.90E-05
104,2019-03-10T23:00:00+00:00,-2.40E-05,-2.00E-05
105,2019-03-11T00:00:00+00:00,1.50E-05,-1.40E-05
106,2019-03-11T01:00:00+00:00,4.20E-05,-2.10E-05
107,2019-03-11T02:00:00+00:00,1.30E-05,-5.00E-06
108,2019-03-11T03:00:00+00:00,2.20E-05,-3.00E-06
109,2019-03-11T04:00:00+00:00,-1.60E-05,-1.00E-06
110,2019-03-11T05:00:00+00:00,-1.40E-05,-1.70E-05
111,2019-03-11T06:00:00+00:00,1.00E-06,-3.70E-05
112,2019-03-11T07:00:00+00:00,4.40E-05,9.10E-05
113,2019-03-11T08:00:00+00:00,-1.80E-05,1.10E-05
114,2019-03-11T09:00:00+00:00,1.40E-05,1.20E-05
115,2019-03-11T10:00:00+00:00,-1.30E-05,1.70E-05
116,2019-03-11T11:00:00+00:00,-1.20E-05,1.10E-05
117,2019-03-11T12:00:00+00:00,5.00E-06,1.70E-05
118,2019-03-11T13:00:00+00:00,-3.20E-05,1.70E-05
119,2019-03-11T14:00:00+00:00,-3.40E-05,2.50E-05
120,2019-03-11T15:00:00+00:00,-4.10E-05,6.00E-06
121,2019-03-11T16:00:00+00:00,-4.30E-05,6.00E-06
122,2019-03-11T17:00:00+00:00,-3.80E-05,6.00E-06
123,2019-03-11T18:00:00+00:00,-4.20E-05,1.20E-05
124,2019-03-11T19:00:00+00:00,-4.10E-05,1.90E-05
125,2019-03-11T20:00:00+00:00,-3.80E-05,-3.30E-05
126,2019-03-11T21:00:00+00:00,-3.30E-05,3.90E-05
127,2019-03-11T22:00:00+00:00,-3.40E-05,-2.30E-05
128,2019-03-11T23:00:00+00:00,-2.00E-05,-1.10E-05
129,2019-03-12T00:00:00+00:00,-1.90E-05,-5.40E-05
130,2019-03-12T01:00:00+00:00,-1.50E-05,-6.30E-05
131,2019-03-12T02:00:00+00:00,0,-4.40E-05
132,2019-03-12T03:00:00+00:00,-1.40E-05,-8.20E-05
133,2019-03-12T04:00:00+00:00,-4.70E-05,-0.00021
134,2019-03-12T05:00:00+00:00,-5.20E-05,-0.000283
135,2019-03-12T06:00:00+00:00,4.00E-06,-0.000198
